franchise_id,jersey_number,player,player_id,position,status
287,12,Jake Bailey,72158,SRWR,S
183,22,Calvin Hill,97069,HB,S
287,53,Jakai Clark,97645,C,S
183,05,Calvin Wiggins,98218,LWR,S
287,51,Justin Osborne,99071,RT,S
183,64,Mahdi Hazime,101542,C,S
183,10,Darryle Evans,121677,HB,P
183,11,Ismael Fuller,121678,RWR,P
183,77,Kendal Septs,121701,RG,S
287,S48,Will Benton IV,121916,,
287,30,Carter Campbell,121919,SLWR,P
287,75,Ben Sparks,121949,RG,P
287,69,Nate Anderson,122916,LG,P
287,71,Logan Parr,123125,RG,S
287,02,Preston Stone,124716,QB,S
287,82,RJ Maryland,127250,TE-R,S
287,88,Matthew Hibner,129581,TE-L,P
183,07,Collin Sullivan,129834,LWR,S
287,03,Romello Brinson,143936,LWR,S
287,09,Key'Shawn Smith,143950,RWR,S
287,01,Brashard Smith,143951,HB,P
287,13,Roderick Daniels Jr.,144356,LWR,P
287,44,Stone Eby,144358,TE-R,P
287,26,Zane Minors,144371,HB,P
287,76,Keaton Schultz,144377,LG,P
183,12,CJ Rogers,144508,QB,P
287,54,Savion Byrd,144626,LG,S
287,D91,Blake Burris,144770,,
183,15,Drake Martinez,146023,TE-R,P
287,11,LJ Johnson Jr.,147003,HB,S
287,72,Caleb Johnson,147480,RT,P
183,75,Luis Chavarria,154004,RG,P
183,00,Zavion Evans,155841,TE-L,P
183,52,Dion Daniels,155842,LT,S
183,09,Adrian Green,155922,RWR,P
287,55,Qae'Shon Sapp,156287,C,P
287,74,Andrew Chamblee,157025,RT,P
287,08,Jordan Hudson,157298,RWR,P
287,32,Joey Bruszer,158256,LWR,P
287,07,Kevin Jennings,158272,QB,P
287,S41,Collin Rogers,158279,,
287,60,Hunter Ryan,158280,C,P
287,46,Markus Schumacher,158281,TE-R,P
287,59,PJ Williams,158685,LT,S
183,73,Nonso Omezi,160100,LG,S
183,03,Eli Brickhandler,160410,QB,P
183,30,Joshlyn McCarter,161423,TE-R,P
183,02,Deuce McMillan,161425,SRWR,S
183,17,Jackson White,161434,SLWR,P
183,19,AJ Wilson,161436,RWR,P
183,55,Joel Jameson,164359,TE-L,P
183,54,Jaden Edmonson,165671,LG,P
287,15,Jaxson Lavender,169966,SLWR,P
287,78,Paris Patterson Jr.,172418,RG,P
287,16,Ashton Cozart,174126,LWR,P
183,70,KC Comyford,174513,RT,S
183,01,Champ Dozier,174515,SLWR,S
183,71,Trent Savage,174527,C,P
183,06,Cutter Stewart,174531,QB,S
183,13,Jesse Valenzuela,174532,HB,P
287,70,Paxton Briggle,175278,LG,P
287,10,Jamarion Carroll,175279,RWR,P
287,83,Case Holleron,175285,RWR,P
287,65,Jack Laphen,175286,LT,P
287,06,Keldric Luster,175287,QB,P
287,85,Adam Moore,175289,TE-L,P
287,84,Tripp Riordan,175293,TE-R,P
287,77,Alex Woods,175298,RG,P
287,25,William Fierro,183249,QB,P
287,29,Zach Hernandez,183251,HB,P
287,20,Derrick McFall,183252,HB,P
287,18,Randy Reece,183254,SRWR,P
183,79,Roman Perrin,185990,RT,P
287,68,King Large,189551,C,P
287,50,Graham Uter,189559,C,P
